LAT,LON
-24.955266,-53.458988
-22.519507,-55.727614
-25.440737,-49.264688
-31.763145,-52.340120
-27.585289,-48.539070
-23.431542,-51.937611
-9.902853,-58.562993
-23.548182,-46.634579
-22.971943,-43.186456
-30.030174,-51.227365
-20.471962,-54.613565
-19.907758,-43.946874
-16.694458,-49.264704
-15.607735,-56.100186
-15.799039,-47.863212
-15.799039,-47.863212
-11.882602,-55.498357
-9.870071,-56.083225
-12.736448,-60.129976
-16.463417,-54.634537
-25.355270,-51.468467
-25.355270,-51.468467
-12.974887,-38.464087
-9.381368,-40.504058
-14.870564,-40.843476
-16.445106,-39.064454
-12.150207,-44.995844
-12.992655,-38.498257
-10.946972,-37.062410
-9.654063,-35.706778
-7.115789,-34.840931
-8.059536,-34.880729
-5.772758,-35.196803
-3.728342,-38.527096
-2.532803,-44.258786
-5.051925,-42.794986
-10.255122,-48.326791
-8.757015,-63.904366
-9.976343,-67.828085
-3.111728,-60.018515
-0.113190,-67.086046
2.820850,-60.672249
-1.458575,-48.489683
-2.426692,-54.704273
-7.039290,-55.414364
-17.788011,-50.918365
-20.298492,-40.294811
-29.692299,-53.813824
-31.330280,-54.103111
-29.766175,-57.078254
-28.291969,-49.936605
-27.105504,-52.616867
0.038717,-51.057752
-19.000170,-57.649793
-18.502817,-54.747063
-13.068875,-55.924687
-13.655594,-57.893752
-11.422159,-58.756830
-22.102975527042098,-51.39121674128149
-22.278483818713653,-49.00713320817759
-21.06033647163463,-47.73997916071463
-21.119217254839352,-50.5233139554997
-21.696413107405366,-57.87864847803242
-8.145230589026136,-70.36220101029868
-7.580467498121579,-72.65286095178092
-26.88996618475365,-49.090044281140905
-18.818540187766054,-48.28136779629061
-16.643949353973852,-43.8790587304169
-21.65862109833704,-43.33869774711829
-17.788701436675797,-41.50565654928293
-14.668745957854906,-38.952002047016045
-7.02416163318085,-39.356007508665826
-7.406179382529193,-46.008187252470485
-5.251593503498558,-48.98942988017024
-4.159447891931349,-55.91975358244995
-3.127783631612829,-52.14000411350499
3.8045950965804742,-51.79610369037427
1.8642650659451059,-61.12087332446703
4.479972164267836,-61.25752044482722
-4.432671922007513,-69.992213991794
-3.2972522106637983,-64.71068820347519
-3.1029219906692864,-58.41355711859072
-7.138640392980099,-59.900939912702825
-6.562207571065553,-69.92207078651573
-5.184159725552133,-61.83972418896108
-6.15690518618565,-57.7815108096976
-11.645641449317356,-50.77772854413314
-7.0627858426251136,-48.174982803109394
-21.88041888202184,-60.570876171766436
-23.42841815833586,-57.47842256476067
-25.22301329443472,-57.59601140943962
-25.403472645064713,-55.97935070255867
-27.18615841001135,-55.83992190205828
-26.854848879165413,-58.20060530242065
-31.531314794579455,-60.66476325300317
-32.882054061309,-60.69305397683307
-31.334086176811823,-64.03777652142337
-34.504933867022565,-58.30384382951735
-34.80051192330847,-56.22861492792224
-33.64662121732514,-53.43250648798545
-32.303150609295585,-54.13424854252634
-17.70881633030163,-63.09986079102439
-16.39018369424626,-68.21187265499822
-11.882168508649743,-77.02001499117395
-33.23864317035207,-70.56948419349389
0.00028711234081460414,-78.44334610222461
4.87464214909391,-74.10259847508614
